Municipio-poblacion;Fecha casos;Casos;Tasa;riesgo;Variacion diaria de tasa;Tendencia;Fuente de datos:;Link fuente de datos;Mensaje;Nivel;history_available;Alerta;Población;Comunidad
Fasnia;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2786,0;Canarias
Alajeró;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2017,0;Canarias
Tinajo;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;6279,0;Canarias
Arafo;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;5551,0;Canarias
Breña Baja;09/06/2021;0;0;BAJO;-1,883;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;5690,0;Canarias
El Paso;09/06/2021;1;13;BAJO;2,343;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7622,0;Canarias
El Tanque;09/06/2021;2;72;MODERADO;6,463;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2763,0;Canarias
San Juan De La Rambla;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4828,0;Canarias
Firgas;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7455,0;Canarias
Arico;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7988,0;Canarias
Agaete;09/06/2021;0;0;BAJO;-7,672;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;5586,0;Canarias
Vega De San Mateo;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7556,0;Canarias
Los Silos;09/06/2021;1;21;BAJO;2,283;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4693,0;Canarias
La Guancha;09/06/2021;1;18;BAJO;0,0;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;5520,0;Canarias
Tazacorte;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4575,0;Canarias
Santa María De Guía;09/06/2021;1;7;BAJO;0,258;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;13850,0;Canarias
San Bartolomé;09/06/2021;0;0;BAJO;-0,569;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;18816,0;Canarias
Teror;09/06/2021;2;15;BAJO;1,426;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;12519,0;Canarias
Villa De Mazo;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4843,0;Canarias
La Aldea De San Nicolás;09/06/2021;0;0;BAJO;-2,38;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7504,0;Canarias
Puntagorda;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2110,0;Canarias
Antigua;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;12461,0;Canarias
